Company1,Company2,Value
10,16,-0.36587196
10,17,0.324671822
10,18,-0.338661015
10,19,0.115338658
10,20,0.075312156
10,21,0.168829643
10,22,0.525741602
10,23,-0.42244521
10,24,-0.318559594
10,25,-0.210864835
10,26,-0.610278994
10,27,0.811309862
10,28,0.08712565
10,29,0.82200725
10,30,0.092944288
11,1,0.628885799
11,2,-0.460629099
11,3,-0.360413305
11,4,0
11,5,0.225565098
11,6,-0.100334845
11,7,-0.054087135
11,8,0.658182991
11,9,0.740362242
11,10,-0.058065201
11,11,1
11,12,0.120518734
11,13,-0.094600554
11,14,-0.103178964
11,15,-0.090790118
11,16,0.275532771
11,17,0.475991404
11,18,0.380705047
11,19,-0.076382571
11,20,-0.045431963
11,21,-0.09110617
11,22,-0.603946712
11,23,-0.532224384
11,24,-0.380154019
11,25,0.547054634
11,26,-0.193275216
11,27,0.170143747
11,28,0.123448886
11,29,-0.090568744
11,30,0.44106416
12,1,0.053522165
12,2,-0.86390662
12,3,-0.149645426
12,4,0
12,5,0.92161803
12,6,0.549039378
12,7,0.19192051
12,8,0.174852648
12,9,-0.082200638
12,10,0.562303794
12,11,0.120518734
12,12,1
12,13,0.630729409
12,14,0.438114637
12,15,0.614124816
12,16,-0.709106687
12,17,0.720304893
12,18,-0.052710005
12,19,0.267273115
12,20,0.168843362
12,21,0.342037745
12,22,0.002401552
12,23,-0.816458998
12,24,-0.793997017
12,25,-0.173861564
12,26,-0.712186392
12,27,0.823859353
12,28,0.630263562
12,29,0.641370567
12,30,0.521906679
13,1,0.048735665
13,2,-0.482037204
13,3,-0.099694877
13,4,0
13,5,0.360950594
13,6,0.843788918
13,7,0.243412915
13,8,-0.27978578
13,9,-0.287638992
13,10,0.887135423
13,11,-0.094600554
13,12,0.630729409
13,13,1
13,14,0.679366348
13,15,0.966656628
13,16,-0.378147032
13,17,0.37696514
13,18,-0.291141087
13,19,0.371025865
13,20,0.209518259
13,21,0.504576374
13,22,0.596533183
13,23,-0.464379665
13,24,-0.338069275
13,25,-0.249200513
13,26,-0.711457057
13,27,0.825511731
13,28,0.053284373
13,29,0.848339608
13,30,0.135807899
14,1,-0.071335801
14,2,-0.302545974
14,3,-0.216250142
14,4,0
14,5,0.172456858
14,6,0.764159214
14,7,0.288857044
14,8,-0.197534768
14,9,-0.284037013
14,10,0.328874158
14,11,-0.103178964
14,12,0.438114637
14,13,0.679366348
14,14,1
14,15,0.637138835
14,16,-0.234066903
14,17,0.270339266
14,18,-0.098357843
14,19,0.438368436
14,20,0.245106399
14,21,0.641940629
14,22,0.382926729
14,23,-0.345618371
14,24,-0.235625129
14,25,-0.18860774
14,26,-0.538465116
14,27,0.448041557
14,28,-0.017596197
14,29,0.471263379
14,30,0.138489272
15,1,0.040047392
15,2,-0.473972626
15,3,-0.093127886
15,4,0
15,5,0.356784671
15,6,0.840553289
15,7,0.265015158
15,8,-0.272977123
15,9,-0.277335472
15,10,0.884240725
15,11,-0.090790118
15,12,0.614124816
15,13,0.966656628
15,14,0.637138835
15,15,1
15,16,-0.348702508
15,17,0.357036614
15,18,-0.299246417
15,19,0.378036033
15,20,0.228102821
15,21,0.486924766
15,22,0.606069573
15,23,-0.45214615
15,24,-0.305490365
15,25,-0.242770962
15,26,-0.697293116
15,27,0.807655183
15,28,0.045680003
15,29,0.822790072
15,30,0.128607284
16,1,0.207103806
16,2,0.521346629
16,3,-0.057808852
16,4,0
16,5,-0.635335745
16,6,-0.273572896
16,7,-0.057660311
16,8,0.143840667
16,9,0.397268407
16,10,-0.36587196
16,11,0.275532771
16,12,-0.709106687
16,13,-0.378147032
16,14,-0.234066903
16,15,-0.348702508
16,16,1
16,17,-0.386969448
16,18,0.055587285
16,19,-0.065575115
16,20,-0.053964434
16,21,-0.130169639
16,22,-0.105995054
16,23,0.460239047
16,24,0.607338194
16,25,0.359275426
16,26,0.385114911
16,27,-0.563968558
16,28,-0.620950443
16,29,-0.54372303
16,30,-0.201693541
17,1,0.446464535
17,2,-0.868001247
17,3,-0.225978371
17,4,0
17,5,0.707386549
17,6,0.31130876
17,7,0.106242469
17,8,0.401247808
17,9,0.204133576
17,10,0.324671822
17,11,0.475991404
17,12,0.720304893
17,13,0.37696514
17,14,0.270339266
17,15,0.357036614
17,16,-0.386969448
17,17,1
17,18,0.167911117
17,19,0.162147797
17,20,0.088922208
17,21,0.207357837
17,22,-0.25908173
17,23,-0.811381982
17,24,-0.775718513
17,25,0.059295576
17,26,-0.598350905
17,27,0.662631356
17,28,0.493113684
17,29,0.418706543
17,30,0.782352815
18,1,0.222863897
18,2,-0.14924202
18,3,-0.465447443
18,4,0
18,5,0.035406506
18,6,-0.222986396
18,7,-0.000456419
18,8,0.612728919
18,9,0.318699341
18,10,-0.338661015
18,11,0.380705047
18,12,-0.052710005
18,13,-0.291141087
18,14,-0.098357843
18,15,-0.299246417
18,16,0.055587285
18,17,0.167911117
18,18,1
18,19,-0.010773724
18,20,0.006391997
18,21,-0.035590935
18,22,-0.597880976
18,23,-0.17305767
18,24,3.24E-05
18,25,0.527686175
18,26,0.076519109
18,27,-0.132091097
18,28,0.119500993
18,29,-0.269597743
18,30,0.196296325
19,1,-0.193389666
19,2,-0.222137406
19,3,-0.106018727
19,4,0
19,5,0.09780105
19,6,0.435671143
19,7,0.701031477
19,8,-0.148545478
19,9,-0.137041676
19,10,0.115338658
19,11,-0.076382571
19,12,0.267273115
19,13,0.371025865
19,14,0.438368436
19,15,0.378036033
19,16,-0.065575115
19,17,0.162147797
19,18,-0.010773724
19,19,1
19,20,0.603389099
19,21,0.767851996
19,22,0.351205399
19,23,-0.06918072
19,24,-0.013432727
19,25,-0.136009831
19,26,-0.301652971
19,27,0.261198323
